encoder,method,runtime_s,acc,macro_f1,balanced_acc,ablation_group,feature_mode,patch_agg,patch_budget,k,encoders,common_sizes
fusion,multi_encoder_context_fusion,20.44436369650066,0.6580441640378549,0.5928147926028875,0.6133082556294696,,,,,,"['provgigapath', 'virchow2', 'uni', 'ctranspath', 'dinov2_vitl', 'mae_vitl', 'vit_large_patch16_224', 'resnet50', 'conch']","{'provgigapath': {'train': 13730, 'val': 954, 'test': 4755}, 'virchow2': {'train': 13730, 'val': 954, 'test': 4755}, 'uni': {'train': 13730, 'val': 954, 'test': 4755}, 'ctranspath': {'train': 13730, 'val': 954, 'test': 4755}, 'dinov2_vitl': {'train': 13730, 'val': 954, 'test': 4755}, 'mae_vitl': {'train': 13730, 'val': 954, 'test': 4755}, 'vit_large_patch16_224': {'train': 13730, 'val': 954, 'test': 4755}, 'resnet50': {'train': 13730, 'val': 954, 'test': 4755}, 'conch': {'train': 13730, 'val': 954, 'test': 4755}}"
dinov2_vitl,ablate_patchagg_max,4.715486083179712,0.673236373521816,0.5798351427253494,0.6116686343952339,patch_agg,,max,,,,
dinov2_vitl,hybrid_morph_context,5.451371483504772,0.6395269811064292,0.5601421623314408,0.6083784046776891,,,,,,,
dinov2_vitl,ablate_patchfeat_cell_patch_resid,3.8396381996572018,0.6366725567486747,0.5569859381162312,0.6047746417272702,feature_mode,cell_patch_resid,,,,,
resnet50,ablate_patchfeat_cell_patch_resid,4.043348323553801,0.6620905260296317,0.595303514638344,0.6035966493323933,feature_mode,cell_patch_resid,,,,,
dinov2_vitl,ablate_patchfeat_cell_patch,4.488859919831157,0.5942639662906076,0.5324301841739508,0.6028060299681031,feature_mode,cell_patch,,,,,
virchow2,multiscale_proxy_mlp,9.92000792734325,0.6483621041185266,0.5696955235207823,0.5974778632389534,,,,,,,
resnet50,residual_boosting,30.876056525856256,0.6540709528340356,0.5603195414125264,0.5919445569290321,,,,,,,
resnet50,linear_probe,19.40186515636742,0.6493135789044447,0.5577156181716635,0.5904685816753963,,,,,,,
conch,ablate_localctx_k12,4.541471127420664,0.5861084681255947,0.5421834567628641,0.5838116988069184,localctx_k,,,,12.0,,
resnet50,ablate_localctx_k4,5.140360716730356,0.6871007204023379,0.5574955905797075,0.5818563432664273,localctx_k,,,,4.0,,
resnet50,ablate_localctx_k8,6.761577619239688,0.6611390512437134,0.5411471904893528,0.5678755045102336,localctx_k,,,,8.0,,
resnet50,ablate_localctx_k12,5.7373225055634975,0.705450591273617,0.5703751555630184,0.5638312118801379,localctx_k,,,,12.0,,
uni,ablate_graph_k4,115.42449647188187,0.6067690634769607,0.5406078292800783,0.5595274519496355,graph_k,,,,4.0,,
conch,ablate_localctx_k4,3.973600272089243,0.5742829957863259,0.5262398907347986,0.5563460753214788,localctx_k,,,,4.0,,
uni,graph_label_propagation,119.89376193098724,0.6010602147614517,0.536665717782753,0.5539482397298845,,,,,,,
